timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,PowerUpsTakenPercent
4/9/2026 13:32:09,,e41779a9e75c1e3caf62a0b103db74f908610dc5,172.0604248,1710,1710,74.02597046,100,14,7,37.7142868,100,0,0,3.808652639,168.2520599,0,0,0,0,0,1,1,1,0,0,16,81,17,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,216,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,55,3,1,1.300000072,1.599999905,4,2,100,8.022908211,2.708359241,1.601213217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/9/2026 13:35:58,,e41779a9e75c1e3caf62a0b103db74f908610dc5,214.6416168,1590,1590,62.35293961,83.33333588,21,18,18.5,78.125,0,194.1540527,11.75257874,8.734593391,107,12,28,0,0,0,0,0,0,2,0,1,0,0,0,120,0,0,40,0,0,0,0,0,0,88,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,1,0,2,2.049999952,1.700000167,1.599999905,10,5,66.66666412,8.266974449,2.306442976,1.954057217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/9/2026 13:41:12,,e41779a9e75c1e3caf62a0b103db74f908610dc5,313.9595947,1620,1620,98.1818161,97.5,39,5,27.60000038,88.46154022,0,10.80582714,31.26976204,271.8840027,9,0,2,0,0,12,0,3,0,2,20,90,37,0,1,40,270,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,1,49,0,0,0,0,6,2,4,17,1,1.299999952,1.200000048,1.149999976,5,3,100,8.895922661,5.993802071,1.599496722,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
4/9/2026 13:45:50,,e41779a9e75c1e3caf62a0b103db74f908610dc5,277.8625793,2090,2090,137.5,100,44,13,18.15384674,100,0,10.55893898,218.6161957,48.6866951,11,0,0,0,0,7,132,52,1,0,20,30,5,2,0,0,160,50,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,5,137,13,0,0,0,4,1,0,0,0,0,0,0,0,10,28,6,4,4,1,113,3,1.749999881,1.500000119,1.449999928,7,4,100,17.0707531,1.306271672,2.532453775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
4/9/2026 13:49:30,,e41779a9e75c1e3caf62a0b103db74f908610dc5,220.4599304,1320,1320,85.7142868,93.75,47,6,21.66666603,64.2857132,0,4.197896957,19.03511429,197.2260284,0,0,0,0,0,2,6,4,1,0,89,65,26,0,0,30,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,3,3,57,0,3,4,0,2,12,0,6,7,0,37,21,0,7,2,1,85,2,1.449999928,1.100000024,1.299999952,14,8,100,5.807839394,3.426859856,0.8819959164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
4/9/2026 16:40:44,,a337940f472f2f83c15e80db566145fe9e844d0d,208.3400726,1380,1380,89.61038971,100,3,6,20.16666603,64.2857132,0,0.4685711861,207.4724579,0.3990620375,0,0,0,0,0,41,51,20,2,3,0,0,0,0,0,80,60,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,1,4,2,1,4,8,0,4,3,1,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,85,2,1.149999976,1.300000072,1.299999952,5,0,100,8.779598236,3.707583904,5.953211784,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,
4/9/2026 16:43:33,,a337940f472f2f83c15e80db566145fe9e844d0d,169.0385742,1710,1710,74.02597046,100,9,7,45.1428566,100,0,97.78104401,38.73361206,32.52548981,24,15,16,0,1,1,15,3,0,1,6,16,1,1,0,90,0,0,0,29,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,15,59,12,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,55,3,1.299999952,1.100000024,1.599999905,15,11,100,6.899839401,2.385788202,2.995743752,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
4/9/2026 16:47:07,,a337940f472f2f83c15e80db566145fe9e844d0d,212.5786743,1800,1800,70.58823395,83.33333588,16,25,18.36000061,100,0,156.1135559,36.97471619,19.49175262,68,14,9,0,0,3,0,1,0,6,2,0,0,0,6,40,0,0,65,0,0,0,0,0,0,40,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,2,1.749999881,2.000000238,2.500000238,11,5,66.66666412,5.780673981,2.38591218,2.968419552,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,
4/9/2026 16:51:22,,a337940f472f2f83c15e80db566145fe9e844d0d,245.6171112,1650,1650,100,100,26,5,22.60000038,57.69230652,0,240.62117,2.022595882,2.972765923,209,0,46,6,0,1,0,0,0,0,0,0,1,0,0,20,70,0,0,0,0,0,45,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,17,1,1.299999952,1.200000048,1.149999976,7,4,100,10.00054073,5.453516006,1.84868753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4/9/2026 16:52:50,,a337940f472f2f83c15e80db566145fe9e844d0d,90.03993988,200,200,13.15789509,5.882352829,26,4,33,22.22222137,1,8.620381355,42.93645477,38.48295212,2,1,1,0,0,1,1,1,0,2,1,16,0,0,5,0,160.375,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,27,0,4,4,1,113,3,0,0,0,14,12,0,15.2804451,1.384655356,1.331285834,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,
4/9/2026 16:53:54,,a337940f472f2f83c15e80db566145fe9e844d0d,61.47967148,210,210,13.81578922,8.823529243,26,4,34,22.22222137,1,0,21.28896332,40.19071579,0,0,0,0,0,0,0,0,0,1,9,18,2,0,2,0,90,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,23,0,4,4,1,113,3,0,0,0,3,1,0,11.84333038,1.142400146,0.8266160488,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
