timestamp,levelPlayID,playerId,timePlayed,TotalScore,MapScore,MapScorePercentage,enemiesKilledPct,HealthBarrelsTaken,PowerUpsTaken,AvgEnemiesAliveOnPowerUpTaken,lootTakenPct,deaths,bowmanTime,knightTime,berserkerTime,bowLightAtk,bowHeavyAtk,bowLightDash,bowHeavyDash,bowDefense,knightLightAtk,knightHeavyAtk,knightLightDash,knightHeavyDash,knightDefense,berserkLightAtk,berserkHeavyAtk,berserkLightDash,berserkHeavyDash,berserkDefense,damageTakenMelee,damageTakenRanged,damageTakenGuardianShield,damageTakenTraps,BowLightAttacksMeleeEnemy,BowHeavyAttacksMeleeEnemy,BowHeavyDashesMeleeEnemy,BowLightAttacksRangedEnemy,BowHeavyAttacksRangedEnemy,BowHeavyDashesRangedEnemy,BowLightAttacksBomberEnemy,BowHeavyAttacksBomberEnemy,BowHeavyDashesBomberEnemy,BowLightAttacksAssassinEnemy,BowHeavyAttacksAssassinEnemy,BowHeavyDashesAssassinEnemy,BowLightAttacksGuardianEnemy,BowHeavyAttacksGuardianEnemy,BowHeavyDashesGuardianEnemy,KnightLightAttacksMeleeEnemy,KnightHeavyAttacksMeleeEnemy,KnightHeavyDashesMeleeEnemy,KnightLightAttacksRangedEnemy,KnightHeavyAttacksRangedEnemy,KnightHeavyDashesRangedEnemy,KnightLightAttacksBomberEnemy,KnightHeavyAttacksBomberEnemy,KnightHeavyDashesBomberEnemy,KnightLightAttacksAssassinEnemy,KnightHeavyAttacksAssassinEnemy,KnightHeavyDashesAssassinEnemy,KnightLightAttacksGuardianEnemy,KnightHeavyAttacksGuardianEnemy,KnightHeavyDashesGuardianEnemy,BerserkerLightAttacksMeleeEnemy,BerserkerHeavyAttacksMeleeEnemy,BerserkerHeavyDashesMeleeEnemy,BerserkerLightAttacksRangedEnemy,BerserkerHeavyAttacksRangedEnemy,BerserkerHeavyDashesRangedEnemy,BerserkerLightAttacksBomberEnemy,BerserkerHeavyAttacksBomberEnemy,BerserkerHeavyDashesBomberEnemy,BerserkerLightAttacksAssassinEnemy,BerserkerHeavyAttacksAssassinEnemy,BerserkerHeavyDashesAssassinEnemy,BerserkerLightAttacksGuardianEnemy,BerserkerHeavyAttacksGuardianEnemy,BerserkerHeavyDashesGuardianEnemy,GeometryBehavior,FurnishingBehaviorSpread,FurnishingBehaviorRatio,EnemyBehaviorRatio,EnemyBehaviorDifficulty,AttackSpeedMultiplier,MovementSpeedMultiplier,DamageMultiplier,FormChangeCount,FormChangeCountInCombat,OptionalRoomPercentage,AverageDistanceToMainPath,AverageDistanceToWall,AverageDistanceToEnemies,BowDefenseToMelee,BowDefenseToRanged,BowDefenseToBomber,BowDefenseToAssasssin,BowDefenseToGuardian,KnightDefenseToMelee,KnightDefenseToRanged,KnightDefenseToBomber,KnightDefenseToAssasssin,KnightDefenseToGuardian,BerserkerDefenseToMelee,BerserkerDefenseToRanged,BerserkerDefenseToBomber,BerserkerDefenseToAssasssin,BerserkerDefenseToGuardian,POTakePct,HPTakePct,AvgEneAliveOnPOTakePct
3/12/2026 10:53:21,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,65.67974091,920,920,92,80,14,16,3.125,83.33333588,0,0,4.001077175,61.67865753,0,0,0,0,0,2,0,0,0,0,13,22,0,0,5,20,30,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,6,6,0,1,4,1,63,1,1.599999905,1.500000119,2.049999952,3,2,0,6.442942142,5.076162815,5.462300777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.88888889,75,62.5
3/12/2026 11:13:49,,5953ebc01c53dc47066142b416c932f7e8a07982,44.35663605,830,830,83,100,18,12,1.833333373,60,0,3.103760958,2.641961336,38.61090088,2,0,0,0,0,0,0,0,0,0,33,0,3,3,4,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,19,0,1,1,4,1,63,1,1.599999905,1.400000095,1.599999905,4,2,0,7.485412121,4.198304176,5.916151524,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,66.66666667,50,36.66666746
3/12/2026 11:16:52,,e967dc9b7177e4abf497f68b06561fcdd3fb0ebd,72.0975647,860,860,86,100,17,13,1.769230723,70,0,0,4.858029842,67.23948669,0,0,0,0,0,0,0,0,0,0,27,6,3,4,11,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,3,1,4,1,63,1,1.599999905,1.700000167,1.299999952,2,1,0,8.002493858,3.07360816,4.537975788,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,72.22222222,66.66666667,35.38461447
3/12/2026 11:47:45,,3abf618e919c07766a50f1c7868f404b9061f589,109.5387039,1010,1010,101,100,12,18,1.777777791,100,0,45.86515808,51.33909988,12.33432484,14,4,5,0,1,2,0,0,0,0,2,0,0,0,3,40,60.375,45,40,0,0,0,1,0,0,1,4,0,0,0,0,8,11,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.899999857,1.700000167,1.749999881,6,3,0,7.131208897,4.339121342,5.864683628,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,100,100,35.55555582
3/12/2026 12:42:08,,6af69727f4e722686c620f409a9a22dfdd1596cf,62.25983047,950,950,95,100,14,16,2.0625,76.66666412,0,33.89292526,26.70689583,1.660191655,28,0,1,0,0,20,0,1,1,0,4,0,0,0,0,20,10,15,20,0,0,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,2.049999952,1.300000072,1.899999857,6,5,0,5.671796799,4.15294838,4.745565891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.88888889,58.33333333,41.25
3/12/2026 14:26:32,,99bbc3be92b789c960a41154aab4949617a0bdb4,83.4401474,920,920,92,100,15,15,1.933333278,80,1,20.08891106,0.646138072,62.70513916,3,3,0,0,1,0,0,0,0,0,26,9,0,0,5,0,60,20,60,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,4,0,0,4,8,0,1,4,1,63,1,1.749999881,1.600000143,1.599999905,6,2,0,6.056928635,4.439216614,1.42817378,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,83.33333333,75,38.66666555
3/12/2026 20:26:13,,e41779a9e75c1e3caf62a0b103db74f908610dc5,170.9790039,980,980,98,80,12,18,2.777777672,73.33333588,0,27.61138535,103.828537,39.53796768,11,2,0,0,3,17,2,6,0,1,15,0,7,0,3,0,121.75,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,14,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,1.599999905,2.000000238,1.599999905,9,2,0,4.983397961,4.634310246,5.115573883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,55.55555344
3/12/2026 21:34:04,,2d86196b4abfdd02fdaa4c0f799e3f8cb2aef7fb,271.2187805,980,980,98,100,13,17,2.058823586,96.66666412,0,116.8156128,27.89309502,126.5078278,35,2,3,2,6,2,0,1,0,1,29,3,15,3,1,60,122.625,35,45,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,10,1,2,1,4,1,63,1,2.200000048,1.400000095,1.749999881,18,7,0,5.751424313,4.752810955,6.918240547,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94.44444444,100,41.17647171
3/16/2026 0:58:48,,d1c1cca82c298bc4c8bd611e40b65cf7ef465623,169.9790955,980,980,98,80,12,18,2.388888836,100,1,0,169.9790955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,110,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,63,1,2.049999952,1.800000191,1.449999928,0,0,0,7.653384686,5.561460972,2.773540735,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,100,47.77777672
3/11/2026 19:35:27,Gza7zf6LcB,ae8fbea3c9e4b88052ecb444da7e988c11219a4a,60.98469162,3690,1250,97.65625,83.33333588,9,21,9.571428299,93.33333588,0,5.733353138,55.25144577,0,8,1,0,0,0,20,6,3,0,0,0,0,0,0,0,0,70,10,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,2,2.049999952,1.400000095,2.500000238,4,4,100,7.709970474,3.231999874,1.204926372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77.77777778,79.76190249
